Scholarship_Name,Tổ chức cấp học bổng,Scholarship_Type,Funding level,Sponsorship Details,Application form,Application opening month (annual),Application start date,Application deadline,Number of seats (if any),For Vietnamese students,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),,Scholarship renewal conditions,Required documents,Application process,Scholarship link (URL),Notes ,Annual (Yes/No/Unknown),
IDRC – International Doctoral Research Awards (IDRA),IDRC (Canada) qua Universities Canada,Fund / Organization,Field research support (on-call level),,Submit online,Q3–Q4 (depending on the year),According to call,According to call,Not stated,yes,Must be a PhD student at a Canadian university,Canada-enrolled PhD,no,By development field,Suitable MSc (for PhD),Not stated,Not stated,Optional,Research capacity & SDG fit,,According to IDRC,Online profile,Portal Universities Canada,https://univcan.ca/program-scholarship/idrc-international-doctoral-research-awards/,Requirement to be studying PhD in Canada,yes,
HEC Paris – PhD Program Funding,HEC Paris,School,Fully-funded 5 years (subject to announcement) + research support,,Submit online,Q3–Q1,According to the school cycle,According to the school cycle,Not stated,yes,Open globally,no,Business/Administration (8 majors),Relevant MSc/or equivalent,Not stated,Not stated,Optional,Academic excellence & research fit,According to HEC,,Online students + referees,Through HEC gate,https://www.hec.edu/en/phd-program/financing, ,yes, ,
Dublin City University (DCU) – PhD Scholarships (trường/khoa),Dublin City University,School,"Tuition fee exemption + stipend (e.g. €25,000/year in some faculties)",,Submit online by department,Q1–Q2 (normal),According to call,According to call,Not stated,yes,Open globally,no,According to the industry/faculty announcement,Suitable MSc (for PhD),Not stated,Not stated,Optional,Academics & Syllabus,According to DCU,,Online students,Faculty/DCU Scholarship Page,https://www.dcu.ie/communications/phd-scholarships-call-2025,"For example, School of Communications €25k + fees",yes, ,
CSIRO Industry PhD (iPhD),CSIRO + ĐH đối tác (Úc),Fund / Organization,"~A$47,000/year stipend (2025) + A$13,000/year project funding (4 years)",,Submit online by project,Q1–Q4 (depending on the project),According to call,According to call,Not stated,yes,Open globally (depending on the project),By project,no,By project area,Suitable for,Not stated,Not stated,Optional,Applied research & industry fit,,According to CSIRO,Online students,https://research.csiro.au/iphd-opportunities/,Including top-up/project support,yes, ,
European University Institute (EUI) Doctoral Programme,EUI (Italy),School,Nationally funded scholarship/stipend + tuition waiver (4 years),,Submit online,Q4–Q1,According to call,Usually between 1/2026,~150/year,yes,By donor country,According to the EUI list,no,Economics/Law/History/SPS,Suitable MSc (most),Not stated,Not stated,Optional,Academics & Syllabus,,According to EUI,Online students,https://www.eui.eu/en/services/academic-service/doctoral-programme,Funding details according to Grants Office,yes, ,
EURAXESS – PhD Studentships/Jobs (cổng việc làm nghiên cứu),European Commission (EURAXESS),Fund / Organization,Not a single scholarship; a job posting portal with salary/scholarship per post,,Apply for each job,Q1–Q4,According to the post,According to the post,Not stated,yes,Open globally,According to the article,no,Multidisciplinary,N/A,Not stated,Not stated,By location,Capacity according to JD each news,,According to the position contract,Profile by JD,Via the EURAXESS portal,https://euraxess.ec.europa.eu/jobs,**Recruitment Platform**,yes,
University of Brighton – Funded PhD Studentships,University of Brighton,School,Fully-funded studentships (tuition fee waiver + UKRI yearly stipend),,Submit online by project,Q1–Q2 (normal),According to call,According to call,Not stated,yes,Open globally (depending on the project),According to call,no,Multidisciplinary by school,Relevant MSc/or equivalent achievement,Not stated,Not stated,Optional,Academics & Syllabus,,According to Brighton,Online students,https://www.brighton.ac.uk/research/postgraduate-research-degrees/funding-opportunities-and-studentships/index.aspx, ,yes, ,
Vingroup Science & Technology Scholarship (PhD),Vingroup (VinUniversity quản lý),Fund / Organization,"Full scholarship (tuition, living expenses, tickets...) by call",,Submit online (Track 1/2),Q2–Q4 (depending on Track),According to call,According to call,~max 100/year (Master+PhD),yes,Vietnamese citizens,Vietnam,no,STEM (priority field list),Suitable Bachelor's/Master's degree,Not stated,Not stated,Prioritize contributions to Vietnamese science and technology,"Academic Excellence, AACC",,According to Vingroup,Online students + PV,https://scholarships.vinuni.edu.vn/,According to cohort announcement (2025–2026),yes, ,
RMIT Vietnam PhD Scholarships,RMIT Vietnam,School,100% tuition fee exemption + ~14 million VND/month (refer to RMIT VN page),,Submit online,Q2–Q3 (normal),According to call,According to call,Not stated,yes,Vietnamese citizens (priority),Vietnam,no,By open major at RMIT VN,Suitable for,Not stated,Not stated,Optional,Academic & research fit,,According to RMIT VN,Online students,https://www.rmit.edu.vn/study-at-rmit/phd-programs,Stipend details are listed on the VN page.,yes, ,
VIED – University of Waterloo Doctoral Scholarship,VIED (MOET VN) + University of Waterloo,Government,VIED scholarship + support package from Waterloo (according to policy),,Nominate + submit online,Q2–Q3 (normal),According to call,According to call,Not stated,yes,Vietnamese citizens,Vietnam,no,Multidisciplinary at Waterloo,Suitable for,Not stated,Not stated,Optional,Academics & Letter of Acceptance,,According to VIED & Waterloo,Profile as per instructions,https://uwaterloo.ca/future-graduate-students/admissions/information-international-students/international-agreements-and-sponsorships/vietnam-international-education-development-doctoral,According to MOU VIED–Waterloo,yes, ,
Monash – Vietnam Government Joint PhD (Project 89),Monash University + VIED,School,Combined funding package (VIED + Monash/depending on status),,Nominate + submit online,Q2–Q3 (normal),According to call,According to call,Not stated,yes,Vietnamese citizens (subjects of Project 89),Vietnam,no,By Monash industry,Suitable for,Not stated,Not stated,Optional,Academic & research fit,,According to Monash/VIED,Online profile + confirmation,https://www.monash.edu/graduate-research/study/scholarships/fees-scholarships/accordions/accordion-international-students,Note: Monash site states the deal has expired several times; under new call,Unknown, ,
UTS FEIT – Project 89 PhD Top-up,University of Technology Sydney (FEIT) + VIED,School,"VIED: USD 25,000/year tuition + USD 1,120/month stipend; UTS: **top-up the difference in tuition** + other support",,Apply via UTS + VIED,Q2–Q3 (normal),According to call,According to call,Not stated,yes,Vietnamese citizens,Vietnam,no,Engineering & Information Technology (FEIT),Suitable for,Not stated,Not stated,Optional,Academic & industry fit,,According to UTS,Online students + outline,https://www.uts.edu.au/for-students/admissions-entry/scholarships/external-scholarships/project-89,UTS page announces specific level 2025,yes, ,
Fulbright Vietnamese Visiting Student Researcher (VSR) – S&T,U.S. Embassy Hanoi (Fulbright Vietnam),Government,"Short-term exchange scholarship (6–10 months): living allowance, ticket, health insurance; **no degree**",,Apply online through the US Embassy,Q1–Q2 (normal),According to call,According to call,~maximum 5 places/year,yes,Vietnamese citizens only,Vietnam,no,S&T,Currently a PhD student in Vietnam,Not stated,Not stated,Optional,Academics & Research Planning,,According to Fulbright,Online application + letter of affiliation,US Embassy Vietnam Page (Fulbright VSR),https://foreign.fulbrightonline.org/host-institutions/foreign-student-program/visiting-student-researchers,Note: non-degree/visiting,yes,
Hong Kong PhD Fellowship Scheme (HKPFS),Research Grants Council (Hong Kong),Government,"HK$340,800/year + HK$14,200/year travel (maximum 3 years)",,Apply online for RGC + apply to school,Q3–Q4,Open 2025/26: reference period ~01/12/2025,According to the announcement,~400 seats/year,yes,Open globally,no,Multidisciplinary (according to Hong Kong University),Relevant MSc/or equivalent,Not stated,Not stated,Optional,Academic excellence & research,According to RGC,,Online application + university submission,https://cerg1.ugc.edu.hk/hkpfs/index.html,Term & rate announced by RGC,yes, , ,
Edinburgh Doctoral College Scholarships,University of Edinburgh,School,Tuition exemption/reduction + stipend (annual rate),,Online (UoE portal),Q4–Q1,Unknown,According to call,Not stated,yes,Open globally,no,Unlimited,PhD at University of Edinburgh,Relevant Master's (most fields),Not stated,Not stated,Optional,Academic Excellence & Research Outline,,Maintain progress,Online students + referees,Through the UoE portal,https://registryservices.ed.ac.uk/student-funding/postgraduate/international/other-funding/doctoral-college,Schools/faculties have separate pages for each major.,yes,
Warwick Chancellor’s International Scholarships,University of Warwick,School,"Full tuition + stipend according to UKRI (3.5 years) + RTSG £5,000",,Online (1 order),consider multiple schemes),Q4–Q1,According to call,According to call,Not stated,yes,Open globally,no,Unlimited,PhD at Warwick,Master's/or equivalent,Not stated,Not stated,Optional,,Academics & Research Potential,Maintain progress,Online students,Through Warwick Gate,https://warwick.ac.uk/services/dc/schols_fund/applicants/competitions/,Details of benefits announced annually,Có
Manchester President’s Doctoral Scholar Award (PDS),The University of Manchester,School,"Tuition + stipend (3.5 years) + £1,000 enhancement",,Online (after offer),Q4–Q1,According to call,According to call,~15 (some departments)/year,yes,Open globally,no,Unlimited,PhD at Manchester,Master's/or equivalent,Not stated,Not stated,Optional,Academic excellence,,Maintain progress,Online students + (if AHRC/ESRC by faculty),Through Manchester Gate,https://www.manchester.ac.uk/study/postgraduate-research/funding/presidents-doctoral-scholar-award/,Have separate page & announcement by department,yes,
Nottingham Vice-Chancellor’s Scholarship for Research Excellence,University of Nottingham,School,Usually covers tuition fees (International); rates vary by course,,List by department/call,Q4–Q1,According to call,According to call,Not stated,yes,Open globally,no,Unlimited,PhD at University of Nottingham,Master's/or equivalent,Not stated,Not stated,Optional,Academic & research fit,,By department/unit,Students by faculty,Nottingham research funding page,https://www.nottingham.ac.uk/studywithus/international-applicants/scholarships-funding-finance/research-scholarships.aspx,Scheme changes by department/year,Unknown,
King’s PGR International Scholarships (KCL),King’s College London,School,Full/partial (depending on the batch; scheme changes),,Online (in batches),Q4–Q1,According to call,According to call,Not stated,yes,Open globally,no,Unlimited,PhD at King's,Master's/or equivalent,Not stated,Not stated,Optional,Academics & Syllabus,,According to the conditions of each batch,Online students,https://www.kcl.ac.uk/study/postgraduate-research/funding/scholarships-and-studentships,Page 2021/22 old batch is closed,Unknown, ,
QMUL Principal’s Postgraduate Research Studentships,Queen Mary University of London,School,"Fully-funded (tuition + stipend, usually 3 years)",,Online by project/faculty,Q3–Q1,According to call,According to call,Not stated,yes,Open globally,no,Unlimited,PhD at QMUL,Master's/or equivalent,Not stated,Not stated,Optional,Academics & Syllabus,,According to QMUL regulations,Online students,https://www.qmul.ac.uk/postgraduate/research/funding_phd/studentships/,PDF available/batch by HSS/SE/MS,yes, ,
Nanyang President’s Graduate Scholarship (NPGS),Nanyang Technological University (NTU),School,Full tuition + stipend (annual rate) + allowances,,Online,Q4–Q1,According to call,According to call,Not stated,yes,Open globally,no,According to the PhD program at NTU,Master's/or Bachelor's degree with distinction,Not stated,Not stated,Optional,Academic excellence & leadership,Maintain progress,,Online students + supervisor,https://www.ntu.edu.sg/admissions/graduate/financialmatters/scholarships/npgs,NIE/NTU website sets very high academic standards,yes, , ,
Taiwan International Graduate Program (TIGP),Academia Sinica + các ĐH đối tác (Taiwan),Fund / Organization,"Stipend NT$40,000/month year 1 (renewable if passed); preferential tuition",,Online,Q4–Q2,In batches,In batches,Not stated,yes,Open globally,no,STEM/programmatic fields,Master's/or equivalent (some for strong bachelor's),Not stated,Not stated,Optional,Academic & research fit,According to TIGP regulations,,Online students + referees,https://tigp.sinica.edu.tw/pages/3446,Stipend officially announced,yes, , ,
Imperial College London President’s PhD Scholarships,Imperial College London,School,Full tuition (3.5 years) + generous stipend,,Online,Q3–Q1,By round,By round,Not stated,yes,Open globally,no,Unlimited,Master's/or Bachelor's degree with honors,Not stated,Not stated,Optional,Academic Excellence & Syllabus,According to Imperial,,Student online + supervisor consent,https://www.imperial.ac.uk/study/fees-and-funding/postgraduate-doctoral/grants-scholarships/presidents-phd/,Please contact supervisor before submitting.,yes, , ,
Pierre Elliott Trudeau Foundation Doctoral Scholarships,Pierre Elliott Trudeau Foundation,Fund / Organization,"Up to ~CAD $50,000/year x 3 years (+ up to $20,000/year academic activities)",,Online (school-nominated),Q3–Q4,According to call,According to call,Not stated,yes,Open globally (social sciences/public policy related topics),no,Social Sciences & Related Fields,Master's/or equivalent,Not stated,Not stated,Optional,Academics & Leadership & Social Engagement,According to the Foundation,,HS online + nomination,https://www.trudeaufoundation.ca/scholarship,Value by Foundation,yes, , ,
Cambridge International PhD Scholarships (Cambridge Trust),Cambridge Trust (University of Cambridge),Fund / Organization,Full support/varies by package,,Online (automatically review the same profile),Q4–Q1,By round,By round,Not stated,yes,Applicants outside UK/IE,Non-UK/IE,no,Multidisciplinary at Cambridge,Master's/or equivalent,Not stated,Not stated,Optional,Academics & Research Potential,,Maintain progress,HS submit through Cambridge,https://www.cambridgetrust.org/scholarships/cambridge-international-scholarship,Select by faculty ranking,yes, ,
Clarendon Scholarships (Oxford) – DPhil/PhD,University of Oxford (Clarendon Fund),School,Fully-funded: tuition + living allowance (fee liability period),,No need to submit separately,Q4–Q1,By term,By term,~200+/year (entire university; including Taught/Research),yes,Open globally,no,Multidisciplinary at Oxford,Master's/or equivalent,Not stated,Not stated,Optional,Academic excellence,Maintain progress,,DPhil students,According to the Oxford process,https://www.ox.ac.uk/clarendon,The “fully-funded” information is clearly stated on the Oxford site.,yes, ,
UCL Overseas Research Scholarships (ORS),University College London (UCL),School,Overseas tuition waiver (often combined with stipend from other sources),,Online (by call),Q4–Q1,According to call,According to call,Not stated,yes,Open globally,no,Unlimited,PhD at UCL,Master's/or equivalent,Not stated,Not stated,Optional,Academic & research potential,,According to UCL,Online students,https://www.ucl.ac.uk/social-historical-sciences/economics/study/postgraduate-research/sources-funding,Usually comes with GRS/RES depending on the year,yes, ,
KAUST Fellowship – PhD,King Abdullah University of Science & Technology (KAUST),School,"Full tuition + bench fees (up to ~$35k/year) + stipend ~$25k–$30k/year + housing, health insurance, transportation support",,Online (apply for PhD program),Q1–Q4 (coil),Continuous,Continuous,Not stated,yes,Open globally,no,STEM at KAUST,Master's/or equivalent,Not stated,Not stated,Optional,Academic & research fit,Maintain progress,,Online students,https://admissions.kaust.edu.sa/fees-funding,KAUST confirms “all PhD students receive fellowships”,yes, , ,
NUS President’s Graduate Fellowship (PGF) – PhD,National University of Singapore (NUS),School,"Full tuition + stipend according to nationality (e.g. S$3,400–S$4,300/month; maximum 4 years)",,Online (via faculty),nominated by NUS),Q1–Q2 & Q3–Q4,By round,By round,Not stated,yes,Open globally,no,Multidisciplinary at NUS,Master's/or equivalent (some majors accept excellent bachelor's degree),Not stated,Not stated,Optional,Academics & Research Potential,,Maintain progress (review each period),Online students + referees,https://fass.nus.edu.sg/prospective-students/graduate/research/scholarships/presidents-graduate-fellowship/,There is an official stipend board.,yes, ,
Türkiye Scholarships (YTB) – PhD,YTB (Republic of Türkiye),Government,"Full: tuition, living expenses, housing/or allowance, health insurance, airfare (as announced)",,Online (YTB portal),Q1 (normal),According to call,According to call,Not stated,yes,Open globally,no,Multidisciplinary at Turkish University,Master's/or equivalent,Not stated,Not stated,Optional,Academics & Motivation,Maintain progress,,Online students,https://www.turkiyeburslari.gov.tr/,Details vary by year/level,yes, , ,
Vanier Canada Graduate Scholarships (PhD),Government of Canada (Tri-Agency),Government,"CAD $50,000/year x 3 years",,**Nominated by Canadian school**,Q3–Q4,According to call,According to call,~many (quota by school/council),yes,Open globally (submit through Canadian universities),According to each council's quota,no,Multidisciplinary (SSH/NSERC/CIHR),Master's/or equivalent,Not stated,Not stated,Optional,Academics & Leadership,,Maintain progress as prescribed,HS online + nomination,https://vanier.gc.ca/en/home-accueil.html,Must be submitted through a school with a Vanier quota,yes, ,