Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),
IDRC – International Doctoral Research Awards (IDRA),IDRC (Canada) qua Universities Canada,Quỹ / Tổ chức,Hỗ trợ nghiên cứu hiện trường (mức theo call),"Dành cho NCS đăng ký tại ĐH Canada, nghiên cứu tại Global South",Nộp trực tuyến,Q3–Q4 (tuỳ năm),Theo call,Theo call,Không nêu,Có,Phải là NCS tại đại học Canada,Canada-enrolled PhD,Không,Theo lĩnh vực phát triển,ThS phù hợp (đối với PhD),Không nêu,Không nêu,Không bắt buộc,Năng lực nghiên cứu & SDG fit,Theo IDRC,Hồ sơ online,Portal Universities Canada,https://univcan.ca/program-scholarship/idrc-international-doctoral-research-awards/,Yêu cầu đang học PhD tại Canada,Có,
HEC Paris – PhD Program Funding,HEC Paris,Trường,Fully-funded 5 năm (tuỳ thông báo) + hỗ trợ nghiên cứu,Gọi vốn nội bộ/ngoại bộ; nhiều track hỗ trợ nghiên cứu,Nộp trực tuyến,Q3–Q1,Theo vòng trường,Theo vòng trường,Không nêu,Có,Mở toàn cầu,Không,Kinh doanh/Quản trị (8 chuyên ngành),ThS phù hợp/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & research fit,Theo HEC,HS online + referees,Qua cổng HEC,https://www.hec.edu/en/phd-program/financing,,Có,,
Dublin City University (DCU) – PhD Scholarships (trường/khoa),Dublin City University,Trường,"Miễn học phí + stipend (ví dụ: €25,000/năm ở một số khoa)",Gọi theo từng khoa; số suất/điều kiện khác nhau,Nộp trực tuyến theo khoa,Q1–Q2 (thường),Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Theo ngành/khoa thông báo,ThS phù hợp (đối với PhD),Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo DCU,HS online,Trang học bổng khoa/DCU,https://www.dcu.ie/communications/phd-scholarships-call-2025,Ví dụ School of Communications €25k + fees,Có,,
CSIRO Industry PhD (iPhD),CSIRO + ĐH đối tác (Úc),Quỹ / Tổ chức,"~A$47,000/năm stipend (2025) + A$13,000/năm kinh phí dự án (4 năm)",Mô hình 3 bên: CSIRO – ĐH – doanh nghiệp; 60 ngày industry engagement,Nộp trực tuyến theo dự án,Q1–Q4 (tuỳ dự án),Theo call,Theo call,Không nêu,Có,Mở toàn cầu (tuỳ dự án),Theo từng dự án,Không,Theo lĩnh vực dự án,ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Applied research & industry fit,Theo CSIRO,HS online,https://research.csiro.au/iphd-opportunities/,Bao gồm top-up/khoản hỗ trợ dự án,Có,,
European University Institute (EUI) Doctoral Programme,EUI (Italy),Trường,Học bổng/tiền lương do quốc gia tài trợ + miễn học phí (4 năm),~150 suất/năm; theo ngành Kinh tế/Luật/Lịch sử/KHXH,Nộp trực tuyến,Q4–Q1,Theo call,Thường giữa 1/2026,~150/năm,Có,Theo quốc gia tài trợ,Theo danh sách EUI,Không,Economics/Law/History/SPS,ThS phù hợp (đa số),Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo EUI,HS online,https://www.eui.eu/en/services/academic-service/doctoral-programme,Chi tiết funding theo Grants Office,Có,,
EURAXESS – PhD Studentships/Jobs (cổng việc làm nghiên cứu),European Commission (EURAXESS),Quỹ / Tổ chức,Không phải học bổng đơn lẻ; là cổng đăng tuyển với lương/học bổng theo từng bài đăng,Liệt kê hàng nghìn vị trí PhD/postdoc tại 40+ quốc gia,Ứng tuyển theo từng tin,Q1–Q4,Theo bài đăng,Theo bài đăng,Không nêu,Có,Mở toàn cầu,Theo bài,Không,Đa ngành,N/A,Không nêu,Không nêu,Theo vị trí,Năng lực theo JD từng tin,Theo hợp đồng vị trí,Hồ sơ theo JD,Qua portal EURAXESS,https://euraxess.ec.europa.eu/jobs,**Nền tảng tuyển dụng**,Có,
University of Brighton – Funded PhD Studentships,University of Brighton,Trường,Fully-funded studentships (miễn học phí + stipend UKRI mức năm),Mở theo đợt và theo dự án/khoa,Nộp trực tuyến theo dự án,Q1–Q2 (thường),Theo call,Theo call,Không nêu,Có,Mở toàn cầu (tuỳ dự án),Theo call,Không,Đa ngành theo trường,ThS phù hợp/hoặc thành tích tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo Brighton,HS online,https://www.brighton.ac.uk/research/postgraduate-research-degrees/funding-opportunities-and-studentships/index.aspx,,Có,,
Vingroup Science & Technology Scholarship (PhD),Vingroup (VinUniversity quản lý),Quỹ / Tổ chức,"Full scholarship (học phí, sinh hoạt, vé…) theo call",Dành cho công dân Việt Nam học PhD STEM ở ĐH đối tác/ưu tiên,Nộp trực tuyến (Track 1/2),Q2–Q4 (tuỳ Track),Theo call,Theo call,~tối đa 100/năm (Master+PhD),Có,Công dân Việt Nam,Việt Nam,Không,STEM (danh mục lĩnh vực ưu tiên),Cử nhân/ThS phù hợp,Không nêu,Không nêu,Ưu tiên đóng góp KH&CN VN,"Học thuật xuất sắc, AACC",Theo Vingroup,HS online + PV,https://scholarships.vinuni.edu.vn/,Theo thông báo cohort (2025–2026),Có,,
RMIT Vietnam PhD Scholarships,RMIT Vietnam,Trường,Miễn 100% học phí + ~14 triệu VND/tháng (tham chiếu trang RMIT VN),Có top-up/điều kiện theo năm,Nộp trực tuyến,Q2–Q3 (thường),Theo call,Theo call,Không nêu,Có,Công dân Việt Nam (ưu tiên),Việt Nam,Không,Theo ngành mở tại RMIT VN,ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & research fit,Theo RMIT VN,HS online,https://www.rmit.edu.vn/study-at-rmit/phd-programs,Chi tiết stipend nêu trên trang VN,Có,,
VIED – University of Waterloo Doctoral Scholarship,VIED (MOET VN) + University of Waterloo,Chính phủ,Học bổng VIED + gói hỗ trợ từ Waterloo (theo chính sách),Hỗ trợ toàn phần cho NCS VN theo MOU,Đề cử + nộp trực tuyến,Q2–Q3 (thường),Theo call,Theo call,Không nêu,Có,Công dân Việt Nam,Việt Nam,Không,Đa ngành tại Waterloo,ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & thư chấp nhận,Theo VIED & Waterloo,Hồ sơ theo hướng dẫn,https://uwaterloo.ca/future-graduate-students/admissions/information-international-students/international-agreements-and-sponsorships/vietnam-international-education-development-doctoral,Theo MOU VIED–Waterloo,Có,,
Monash – Vietnam Government Joint PhD (Project 89),Monash University + VIED,Trường,Gói tài trợ kết hợp (VIED + Monash/tuỳ trạng thái),Hỗ trợ học phí + stipend theo thoả thuận,Đề cử + nộp trực tuyến,Q2–Q3 (thường),Theo call,Theo call,Không nêu,Có,Công dân Việt Nam (đối tượng Đề án 89),Việt Nam,Không,Theo ngành Monash,ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & research fit,Theo Monash/VIED,Hồ sơ online + xác nhận,https://www.monash.edu/graduate-research/study/scholarships/fees-scholarships/accordions/accordion-international-students,Ghi chú: trang Monash nêu thoả thuận đã hết hạn một số đợt; theo call mới,Chưa rõ,,
UTS FEIT – Project 89 PhD Top-up,University of Technology Sydney (FEIT) + VIED,Trường,VIED: USD 25.000/năm học phí + USD 1.120/tháng stipend; UTS: **top-up phần chênh lệch học phí** + hỗ trợ khác,Thời hạn tối đa 3.5 năm,Nộp qua UTS + VIED,Q2–Q3 (thường),Theo call,Theo call,Không nêu,Có,Công dân Việt Nam,Việt Nam,Không,Kỹ thuật & CNTT (FEIT),ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & industry fit,Theo UTS,HS online + đề cương,https://www.uts.edu.au/for-students/admissions-entry/scholarships/external-scholarships/project-89,Trang UTS công bố mức cụ thể 2025,Có,,
Fulbright Vietnamese Visiting Student Researcher (VSR) – S&T,U.S. Embassy Hanoi (Fulbright Vietnam),Chính phủ,"Học bổng trao đổi ngắn hạn (6–10 tháng): trợ cấp sinh hoạt, vé, BHYT; **không cấp bằng**",Dành cho NCS Việt Nam đang học PhD tại VN (S&T),Nộp trực tuyến qua ĐSQ Mỹ,Q1–Q2 (thường),Theo call,Theo call,~tối đa 5 suất/năm,Có,Chỉ công dân Việt Nam,Việt Nam,Không,S&T,Đang là NCS tại VN,Không nêu,Không nêu,Không bắt buộc,Học thuật & kế hoạch nghiên cứu,Theo Fulbright,Hồ sơ online + letter of affiliation,Trang ĐSQ Mỹ VN (Fulbright VSR),https://foreign.fulbrightonline.org/host-institutions/foreign-student-program/visiting-student-researchers,Ghi chú: non-degree/visiting,Có,
Hong Kong PhD Fellowship Scheme (HKPFS),Research Grants Council (Hong Kong),Chính phủ,HK$340.800/năm + HK$14.200/năm travel (tối đa 3 năm),Khoảng 400 suất (2026/27); có thể thêm hỗ trợ từ trường,Nộp online RGC + nộp trường,Q3–Q4,Mở 2025/26: hạn tham chiếu ~01/12/2025,Theo thông báo,~400 suất/năm,Có,Mở toàn cầu,Không,Đa ngành (theo ĐH Hồng Kông),ThS phù hợp/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & nghiên cứu,Theo RGC,Hồ sơ online + nộp ĐH,https://cerg1.ugc.edu.hk/hkpfs/index.html,Thời hạn & mức công bố bởi RGC,Có,,,
Edinburgh Doctoral College Scholarships,University of Edinburgh,Trường,Miễn/giảm học phí + stipend (mức theo năm),Mở cho UK & Overseas; tuyển cho 2025–2026,Trực tuyến (UoE portal),Q4–Q1,Chưa rõ,Theo call,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại University of Edinburgh,Thạc sĩ phù hợp (đa số ngành),Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & đề cương nghiên cứu,Duy trì tiến độ,HS online + referees,Qua cổng UoE,https://registryservices.ed.ac.uk/student-funding/postgraduate/international/other-funding/doctoral-college,Trường/khoa có trang riêng theo ngành,Có,
Warwick Chancellor’s International Scholarships,University of Warwick,Trường,"Full tuition + stipend theo UKRI (3.5 năm) + RTSG £5,000",Hỗ trợ chi phí di trú (đủ điều kiện),Trực tuyến (1 đơn,xét nhiều scheme),Q4–Q1,Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại Warwick,Thạc sĩ/hoặc tương đương mạnh,Không nêu,Không nêu,Không bắt buộc,Học thuật & tiềm năng nghiên cứu,Duy trì tiến độ,HS online,Qua cổng Warwick,https://warwick.ac.uk/services/dc/schols_fund/applicants/competitions/,Chi tiết quyền lợi công bố hằng năm,Có
Manchester President’s Doctoral Scholar Award (PDS),The University of Manchester,Trường,"Học phí + stipend (3.5 năm) + £1,000 enhancement",Rất cạnh tranh; mở mọi ngành,Trực tuyến (sau khi có offer),Q4–Q1,Theo call,Theo call,~15 (một số khoa)/năm,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại Manchester,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc,Duy trì tiến độ,HS online + (nếu thuộc AHRC/ESRC theo khoa),Qua cổng Manchester,https://www.manchester.ac.uk/study/postgraduate-research/funding/presidents-doctoral-scholar-award/,Có trang riêng & thông báo theo khoa,Có,
Nottingham Vice-Chancellor’s Scholarship for Research Excellence,University of Nottingham,Trường,Thường cover học phí (International); mức thay đổi theo ngành,Một số khoa có thêm stipend/ghép các quỹ,Danh theo từng khoa/call,Q4–Q1,Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại University of Nottingham,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & research fit,Theo khoa/đơn vị,HS theo khoa,Trang funding nghiên cứu của Nottingham,https://www.nottingham.ac.uk/studywithus/international-applicants/scholarships-funding-finance/research-scholarships.aspx,Scheme thay đổi theo khoa/năm,Chưa rõ,
King’s PGR International Scholarships (KCL),King’s College London,Trường,Full/partial (tuỳ đợt; scheme thay đổi),Một số đợt **đã đóng**; xem trang tổng hợp học bổng PGR,Trực tuyến (theo từng đợt),Q4–Q1,Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại King’s,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo điều kiện từng đợt,HS online,https://www.kcl.ac.uk/study/postgraduate-research/funding/scholarships-and-studentships,Trang 2021/22 đợt cũ đã đóng,Chưa rõ,,
QMUL Principal’s Postgraduate Research Studentships,Queen Mary University of London,Trường,"Fully-funded (học phí + stipend, thường 3 năm)",Theo lĩnh vực/khoa,Trực tuyến theo dự án/khoa,Q3–Q1,Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại QMUL,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo quy định QMUL,HS online,https://www.qmul.ac.uk/postgraduate/research/funding_phd/studentships/,Có PDF/đợt theo HSS/SE/MS,Có,,
Nanyang President’s Graduate Scholarship (NPGS),Nanyang Technological University (NTU),Trường,Full tuition + stipend (mức theo năm) + các trợ cấp,Dành cho ứng viên xuất sắc (không giới hạn quốc tịch),Trực tuyến,Q4–Q1,Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Theo chương trình PhD tại NTU,Thạc sĩ/hoặc Cử nhân loại xuất sắc,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & leadership,Duy trì tiến độ,HS online + supervisor,https://www.ntu.edu.sg/admissions/graduate/financialmatters/scholarships/npgs,Trang NIE/NTU nêu tiêu chí học lực rất cao,Có,,,
Taiwan International Graduate Program (TIGP),Academia Sinica + các ĐH đối tác (Taiwan),Quỹ / Tổ chức,"Stipend NT$40,000/tháng năm 1 (gia hạn nếu đạt); học phí ưu đãi",13+ chương trình; dạy bằng tiếng Anh (đa số),Trực tuyến,Q4–Q2,Theo đợt,Theo đợt,Không nêu,Có,Mở toàn cầu,Không,STEM/lĩnh vực theo chương trình,Thạc sĩ/hoặc tương đương (một số cho cử nhân mạnh),Không nêu,Không nêu,Không bắt buộc,Học thuật & research fit,Theo quy định TIGP,HS online + referees,https://tigp.sinica.edu.tw/pages/3446,Stipend công bố chính thức,Có,,,
Imperial College London President’s PhD Scholarships,Imperial College London,Trường,Full tuition (3.5 năm) + generous stipend,Rất cạnh tranh; cần có supervisor đồng ý,Trực tuyến,Q3–Q1,Theo vòng,Theo vòng,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,Thạc sĩ/hoặc Cử nhân xuất sắc,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & đề cương,Theo Imperial,HS online + supervisor consent,https://www.imperial.ac.uk/study/fees-and-funding/postgraduate-doctoral/grants-scholarships/presidents-phd/,Yêu cầu liên hệ supervisor trước khi nộp,Có,,,
Pierre Elliott Trudeau Foundation Doctoral Scholarships,Pierre Elliott Trudeau Foundation,Quỹ / Tổ chức,"Tối đa ~CAD $50,000/năm x 3 năm (+ tới $20,000/năm hoạt động học thuật)",Chương trình 3 năm phát triển lãnh đạo,Trực tuyến (được trường đề cử),Q3–Q4,Theo call,Theo call,Không nêu,Có,Mở toàn cầu (đề tài liên quan KHXH/Chính sách công),Không,KHXH & lĩnh vực liên quan,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & leadership & dấn thân xã hội,Theo Foundation,HS online + nomination,https://www.trudeaufoundation.ca/scholarship,Giá trị theo Foundation,Có,,,
Cambridge International PhD Scholarships (Cambridge Trust),Cambridge Trust (University of Cambridge),Quỹ / Tổ chức,Hỗ trợ toàn phần/khác nhau theo gói,Cho ứng viên **không thuộc UK/IE** có xếp hạng cao,Trực tuyến (tự động xét cùng hồ sơ),Q4–Q1,Theo vòng,Theo vòng,Không nêu,Có,Ứng viên ngoài UK/IE,Non-UK/IE,Không,Đa ngành tại Cambridge,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & tiềm năng nghiên cứu,Duy trì tiến độ,HS nộp qua Cambridge,https://www.cambridgetrust.org/scholarships/cambridge-international-scholarship,Chọn theo xếp hạng của khoa,Có,,
Clarendon Scholarships (Oxford) – DPhil/PhD,University of Oxford (Clarendon Fund),Trường,Fully-funded: học phí + grant sinh hoạt (thời gian fee liability),Tự động xét khi nộp đúng hạn course,Không cần nộp riêng,Q4–Q1,Theo hạn khoa,Theo hạn khoa,~200+/năm (toàn ĐH; cả Taught/Research),Có,Mở toàn cầu,Không,Đa ngành tại Oxford,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc,Duy trì tiến độ,HS khóa DPhil,Theo quy trình Oxford,https://www.ox.ac.uk/clarendon,Thông tin “fully-funded” nêu rõ trên trang Oxford,Có,,
UCL Overseas Research Scholarships (ORS),University College London (UCL),Trường,Miễn học phí mức Overseas (thường kết hợp stipend từ nguồn khác),Mục tiêu thu hút NCS quốc tế chất lượng cao,Trực tuyến (theo call),Q4–Q1,Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại UCL,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & research potential,Theo UCL,HS online,https://www.ucl.ac.uk/social-historical-sciences/economics/study/postgraduate-research/sources-funding,Thường đi kèm GRS/RES tuỳ năm,Có,,
KAUST Fellowship – PhD,King Abdullah University of Science & Technology (KAUST),Trường,"Full tuition + bench fees (tới ~$35k/năm) + stipend ~$25k–$30k/năm + nhà ở, BHYT, hỗ trợ di chuyển",Tự động cấp cho **mọi NCS trúng tuyển**,Trực tuyến (apply chương trình PhD),Q1–Q4 (cuộn),Liên tục,Liên tục,Không nêu,Có,Mở toàn cầu,Không,STEM tại KAUST,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & research fit,Duy trì tiến độ,HS online,https://admissions.kaust.edu.sa/fees-funding,KAUST xác nhận “mọi NCS đều được fellowship”,Có,,,
NUS President’s Graduate Fellowship (PGF) – PhD,National University of Singapore (NUS),Trường,"Full tuition + stipend theo quốc tịch (ví dụ: S$3,400–S$4,300/tháng; tối đa 4 năm)",By-nomination; chọn mỗi học kỳ,Trực tuyến (qua khoa,được NUS đề cử),Q1–Q2 & Q3–Q4,Theo vòng,Theo vòng,Không nêu,Có,Mở toàn cầu,Không,Đa ngành tại NUS,Thạc sĩ/hoặc tương đương (một số ngành nhận cử nhân xuất sắc),Không nêu,Không nêu,Không bắt buộc,Học thuật & tiềm năng nghiên cứu,Duy trì tiến độ (review mỗi kỳ),HS online + referees,https://fass.nus.edu.sg/prospective-students/graduate/research/scholarships/presidents-graduate-fellowship/,Có bảng stipend công bố chính thức,Có,,
Türkiye Scholarships (YTB) – PhD,YTB (Republic of Türkiye),Chính phủ,"Full: học phí, sinh hoạt, nhà ở/hoặc trợ cấp, BHYT, vé máy bay (theo thông báo)",Tuyển toàn cầu nhiều ngành,Trực tuyến (YTB portal),Q1 (thường),Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Đa ngành tại ĐH Thổ Nhĩ Kỳ,Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & động lực,Duy trì tiến độ,HS online,https://www.turkiyeburslari.gov.tr/,Chi tiết thay đổi theo năm/cấp bậc,Có,,,
Vanier Canada Graduate Scholarships (PhD),Government of Canada (Tri-Agency),Chính phủ,"CAD $50,000/năm x 3 năm",Ba tiêu chí: Học thuật – Tiềm năng nghiên cứu – Lãnh đạo (cân bằng),Được **trường Canada đề cử**,Q3–Q4,Theo call,Theo call,~nhiều (quota theo trường/council),Có,Mở toàn cầu (nộp qua ĐH Canada),Theo quota từng council,Không,Đa ngành (SSH/NSERC/CIHR),Thạc sĩ/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & leadership,Duy trì tiến độ theo quy định,HS online + nomination,https://vanier.gc.ca/en/home-accueil.html,Phải nộp qua trường có quota Vanier,Có,,